Time,PacketID,NodeID,EventType,Size,PacketType,PacketState,Comment
20,0,0,1,74,NC,BEGIN,transmit
20.0103,0,1,2,74,NC,BEGIN,receive
20.0103,1,1,1,73,NC,UPDATE,transmit
20.0206,1,0,2,73,NC,UPDATE,receive
20.0206,2,0,1,81,NC,UPDATE,transmit
20.0308,2,1,2,81,NC,UPDATE,receive
20.0308,3,1,1,71,NC,UPDATE,transmit
20.0411,3,0,2,71,NC,UPDATE,receive
20.0411,4,0,1,76,NC,UPDATE,transmit
20.0514,4,1,2,76,NC,UPDATE,receive
20.0514,5,1,1,75,NC,UPDATE,transmit
20.0617,5,0,2,75,NC,UPDATE,receive
20.0617,6,0,1,77,NC,UPDATE,transmit
20.072,6,1,2,77,NC,UPDATE,receive
20.072,7,1,1,77,NC,UPDATE,transmit
20.0823,7,0,2,77,NC,UPDATE,receive
20.0823,8,0,1,72,NC,UPDATE,transmit
20.0925,8,1,2,72,NC,UPDATE,receive
20.0925,9,1,1,73,NC,UPDATE,transmit
20.1028,9,0,2,73,NC,UPDATE,receive
20.1028,10,0,1,74,NC,UPDATE,transmit
20.1131,10,1,2,74,NC,UPDATE,receive
20.1131,11,1,1,72,NC,UPDATE,transmit
20.1233,11,0,2,72,NC,UPDATE,receive
20.1233,12,0,1,72,NC,UPDATE,transmit
20.1336,12,1,2,72,NC,UPDATE,receive
20.1336,13,1,1,73,NC,UPDATE,transmit
20.1439,13,0,2,73,NC,UPDATE,receive
20.1439,14,0,1,72,NC,UPDATE,transmit
20.1542,14,1,2,72,NC,UPDATE,receive
20.1542,15,1,1,72,NC,UPDATE,transmit
20.1644,15,0,2,72,NC,UPDATE,receive
20.1644,16,0,1,75,NC,UPDATE,transmit
20.1747,16,1,2,75,NC,UPDATE,receive
20.1747,17,1,1,70,NC,UPDATE,transmit
20.185,17,0,2,70,NC,UPDATE,receive
20.185,18,0,1,74,NC,UPDATE,transmit
20.1953,18,1,2,74,NC,UPDATE,receive
20.1953,19,1,1,73,NC,UPDATE,transmit
20.2055,19,0,2,73,NC,UPDATE,receive
20.2055,20,0,1,76,NC,UPDATE,transmit
20.2158,20,1,2,76,NC,UPDATE,receive
20.2158,21,1,1,69,NC,UPDATE,transmit
20.2261,21,0,2,69,NC,UPDATE,receive
20.2261,22,0,1,72,NC,UPDATE,transmit
20.2364,22,1,2,72,NC,UPDATE,receive
20.2364,23,1,1,74,NC,UPDATE,transmit
20.2466,23,0,2,74,NC,UPDATE,receive
20.2466,24,0,1,75,NC,UPDATE,transmit
20.2569,24,1,2,75,NC,UPDATE,receive
20.2569,25,1,1,75,NC,UPDATE,transmit
20.2672,25,0,2,75,NC,UPDATE,receive
20.2672,26,0,1,76,NC,UPDATE,transmit
20.2775,26,1,2,76,NC,UPDATE,receive
20.2775,27,1,1,75,NC,UPDATE,transmit
20.2878,27,0,2,75,NC,UPDATE,receive
20.2878,28,0,1,71,NC,UPDATE,transmit
20.298,28,1,2,71,NC,UPDATE,receive
20.298,29,1,1,78,NC,UPDATE,transmit
20.3083,29,0,2,78,NC,UPDATE,receive
20.3083,30,0,1,77,NC,UPDATE,transmit
20.3186,30,1,2,77,NC,UPDATE,receive
20.3186,31,1,1,79,NC,UPDATE,transmit
20.3289,31,0,2,79,NC,UPDATE,receive
20.3289,32,0,1,73,NC,UPDATE,transmit
20.3392,32,1,2,73,NC,UPDATE,receive
20.3392,33,1,1,74,NC,UPDATE,transmit
20.3494,33,0,2,74,NC,UPDATE,receive
20.3494,34,0,1,72,NC,UPDATE,transmit
20.3597,34,1,2,72,NC,UPDATE,receive
20.3597,35,1,1,79,NC,UPDATE,transmit
20.37,35,0,2,79,NC,UPDATE,receive
20.37,36,0,1,77,NC,UPDATE,transmit
20.3803,36,1,2,77,NC,UPDATE,receive
20.3803,37,1,1,73,NC,UPDATE,transmit
20.3906,37,0,2,73,NC,UPDATE,receive
20.3906,38,0,1,73,NC,UPDATE,transmit
20.4008,38,1,2,73,NC,UPDATE,receive
20.4008,39,1,1,77,NC,UPDATE,transmit
20.4111,39,0,2,77,NC,UPDATE,receive
20.4111,40,0,1,77,NC,UPDATE,transmit
20.4214,40,1,2,77,NC,UPDATE,receive
20.4214,41,1,1,75,NC,UPDATE,transmit
20.4317,41,0,2,75,NC,UPDATE,receive
20.4317,42,0,1,73,NC,UPDATE,transmit
20.442,42,1,2,73,NC,UPDATE,receive
20.442,43,1,1,73,NC,UPDATE,transmit
20.4522,43,0,2,73,NC,UPDATE,receive
20.4522,44,0,1,80,NC,UPDATE,transmit
20.4625,44,1,2,80,NC,UPDATE,receive
20.4625,45,1,1,72,NC,UPDATE,transmit
20.4728,45,0,2,72,NC,UPDATE,receive
20.4728,46,0,1,75,NC,UPDATE,transmit
20.4831,46,1,2,75,NC,UPDATE,receive
20.4831,47,1,1,75,NC,UPDATE,transmit
20.4934,47,0,2,75,NC,UPDATE,receive
20.4934,48,0,1,74,NC,UPDATE,transmit
20.5036,48,1,2,74,NC,UPDATE,receive
20.5036,49,1,1,70,NC,UPDATE,transmit
20.5139,49,0,2,70,NC,UPDATE,receive
20.5139,50,0,1,77,NC,UPDATE,transmit
20.5242,50,1,2,77,NC,UPDATE,receive
20.5242,51,1,1,73,NC,UPDATE,transmit
20.5345,51,0,2,73,NC,UPDATE,receive
20.5345,52,0,1,72,NC,UPDATE,transmit
20.5447,52,1,2,72,NC,UPDATE,receive
20.5447,53,1,1,68,NC,UPDATE,transmit
20.555,53,0,2,68,NC,UPDATE,receive
20.555,54,0,1,77,NC,UPDATE,transmit
20.5653,54,1,2,77,NC,UPDATE,receive
20.5653,55,1,1,73,NC,UPDATE,transmit
20.5756,55,0,2,73,NC,UPDATE,receive
20.5756,56,0,1,74,NC,UPDATE,transmit
20.5858,56,1,2,74,NC,UPDATE,receive
20.5858,57,1,1,74,NC,UPDATE,transmit
20.5961,57,0,2,74,NC,UPDATE,receive
20.5961,58,0,1,71,NC,UPDATE,transmit
20.6064,58,1,2,71,NC,UPDATE,receive
20.6064,59,1,1,74,NC,UPDATE,transmit
20.6167,59,0,2,74,NC,UPDATE,receive
20.6167,60,0,1,75,NC,UPDATE,transmit
20.6269,60,1,2,75,NC,UPDATE,receive
20.6269,61,1,1,74,NC,UPDATE,transmit
20.6372,61,0,2,74,NC,UPDATE,receive
20.6372,62,0,1,69,NC,UPDATE,transmit
20.6475,62,1,2,69,NC,UPDATE,receive
20.6475,63,1,1,69,NC,UPDATE,transmit
20.6577,63,0,2,69,NC,UPDATE,receive
20.6577,64,0,1,74,NC,UPDATE,transmit
20.668,64,1,2,74,NC,UPDATE,receive
20.668,65,1,1,76,NC,UPDATE,transmit
20.6783,65,0,2,76,NC,UPDATE,receive
20.6783,66,0,1,73,NC,UPDATE,transmit
20.6886,66,1,2,73,NC,UPDATE,receive
20.6886,67,1,1,75,NC,UPDATE,transmit
20.6989,67,0,2,75,NC,UPDATE,receive
20.6989,68,0,1,72,NC,UPDATE,transmit
20.7091,68,1,2,72,NC,UPDATE,receive
20.7091,69,1,1,71,NC,UPDATE,transmit
20.7194,69,0,2,71,NC,UPDATE,receive
20.7194,70,0,1,71,NC,UPDATE,transmit
20.7297,70,1,2,71,NC,UPDATE,receive
20.7297,71,1,1,74,NC,UPDATE,transmit
20.7399,71,0,2,74,NC,UPDATE,receive
20.7399,72,0,1,75,NC,UPDATE,transmit
20.7502,72,1,2,75,NC,UPDATE,receive
20.7502,73,1,1,73,NC,UPDATE,transmit
20.7605,73,0,2,73,NC,UPDATE,receive
20.7605,74,0,1,73,NC,UPDATE,transmit
20.7708,74,1,2,73,NC,UPDATE,receive
20.7708,75,1,1,77,NC,UPDATE,transmit
20.7811,75,0,2,77,NC,UPDATE,receive
20.7811,76,0,1,73,NC,UPDATE,transmit
20.7913,76,1,2,73,NC,UPDATE,receive
20.7913,77,1,1,71,NC,UPDATE,transmit
20.8016,77,0,2,71,NC,UPDATE,receive
20.8016,78,0,1,72,NC,UPDATE,transmit
20.8119,78,1,2,72,NC,UPDATE,receive
20.8119,79,1,1,72,NC,UPDATE,transmit
20.8222,79,0,2,72,NC,UPDATE,receive
20.8222,80,0,1,74,NC,UPDATE,transmit
20.8324,80,1,2,74,NC,UPDATE,receive
20.8324,81,1,1,70,NC,UPDATE,transmit
20.8427,81,0,2,70,NC,UPDATE,receive
20.8427,82,0,1,71,NC,UPDATE,transmit
20.853,82,1,2,71,NC,UPDATE,receive
20.853,83,1,1,75,NC,UPDATE,transmit
20.8632,83,0,2,75,NC,UPDATE,receive
20.8632,84,0,1,75,NC,UPDATE,transmit
20.8735,84,1,2,75,NC,UPDATE,receive
20.8735,85,1,1,71,NC,UPDATE,transmit
20.8838,85,0,2,71,NC,UPDATE,receive
20.8838,86,0,1,73,NC,UPDATE,transmit
20.8941,86,1,2,73,NC,UPDATE,receive
20.8941,87,1,1,68,NC,UPDATE,transmit
20.9043,87,0,2,68,NC,UPDATE,receive
20.9043,88,0,1,74,NC,UPDATE,transmit
20.9146,88,1,2,74,NC,UPDATE,receive
20.9146,89,1,1,68,NC,UPDATE,transmit
20.9249,89,0,2,68,NC,UPDATE,receive
20.9249,90,0,1,74,NC,UPDATE,transmit
