Time,NodeID,Key
31.2536,1,d646a40edbf3efc29004b2751c474cc486afa21ca41ff77a0304638dda8e8d90
31.2638,0,9bc169c5ed1ccd2d1c9d5a8c1bc4d58a2a04510339923466f8aac785f24121c0
47.8209,1,20aaa3694b8718509c4d063639b2d7c5c98eb53581f400ee59bafcabc8e4c06e
47.8312,0,20aaa3694b8718509c4d063639b2d7c5c98eb53581f400ee59bafcabc8e4c06e
68.1192,0,0ef08b8f6af365a4977bbf94c8c160a7ae060a995f42353c64f3b95089283539
68.1294,1,0ef08b8f6af365a4977bbf94c8c160a7ae060a995f42353c64f3b95089283539
88.314,1,2632df4d582b918821c3ab3cd1e56e5c74857ee847aeae3412ecd805ad0472b7
88.3242,0,2632df4d582b918821c3ab3cd1e56e5c74857ee847aeae3412ecd805ad0472b7
107.204,1,2ed27874c98fafc073606f5ab3b43f47581a058dfca87dce8c3b04cb58df1067
107.215,0,2ed27874c98fafc073606f5ab3b43f47581a058dfca87dce8c3b04cb58df1067
127.585,0,d3e425b670e99b601e4825bbbaf9eec432cd2e903b4594673388ccb5b1e4e506
127.595,1,d3e425b670e99b601e4825bbbaf9eec432cd2e903b4594673388ccb5b1e4e506
147.852,0,680b0df2cdaebbc494a9ec40a05eaa55b59bd195313dfbd9b054c3fb767a2585
147.862,1,680b0df2cdaebbc494a9ec40a05eaa55b59bd195313dfbd9b054c3fb767a2585
171.151,1,22557e84f33e097f6ccca91f970d2487dba19198ebe50e53164c5186f1df2c22
171.161,0,fbd056c70259cb291679f383d20820cfb5cf85edc0b5157cf0517d68705e1f45
188.108,1,f3196bc04c6b5000dfad66af8967cbbb93adbfc072e028982890533cce12479a
188.119,0,f3196bc04c6b5000dfad66af8967cbbb93adbfc072e028982890533cce12479a
208.037,0,148c33e1ee62ad6a0a2a49d29963ef48a9ae0c0ca6ab28a4b6b5390d30d1b474
208.047,1,148c33e1ee62ad6a0a2a49d29963ef48a9ae0c0ca6ab28a4b6b5390d30d1b474
227.79,0,8d99cd570d0ee0da07e1a7d86d4c49b3802bdf845095a214029bf40b0dd067de
227.8,1,8d99cd570d0ee0da07e1a7d86d4c49b3802bdf845095a214029bf40b0dd067de
248.715,0,b512d542d4b9f4a8d5ee939bd2509ef9b1e442d7ec3e362301e089c4b44c434b
248.726,1,b512d542d4b9f4a8d5ee939bd2509ef9b1e442d7ec3e362301e089c4b44c434b
270.287,1,e296c5f333b710a2165d47aaf6065584a62f3244bd7cbd43ee5dcccf18daa611
270.298,0,e296c5f333b710a2165d47aaf6065584a62f3244bd7cbd43ee5dcccf18daa611
289.116,1,2bc1680cdb6db8a84a24f2b9d4974a36d85234a9852754b6efebb6d25096f67b
289.126,0,2bc1680cdb6db8a84a24f2b9d4974a36d85234a9852754b6efebb6d25096f67b
309.116,1,43da60b23d7449a489d2a164f85cc8e4f574a129dd6d66a63b8568ee6bcbad6c
309.126,0,43da60b23d7449a489d2a164f85cc8e4f574a129dd6d66a63b8568ee6bcbad6c
330.483,0,e8ae8c6bc645456687f0776bd644ca090b49140795e40e5c7f7ad1dd97708ab2
330.493,1,e8ae8c6bc645456687f0776bd644ca090b49140795e40e5c7f7ad1dd97708ab2
346.814,1,fb3e98e53c1d98aa49d37a929bfde718849177f4143435a083668e251314773f
346.824,0,fb3e98e53c1d98aa49d37a929bfde718849177f4143435a083668e251314773f
367.615,1,7717b53ea5523137c421796b41b7a3e7f8fc79b93eff1267586acf50737af821
367.626,0,7717b53ea5523137c421796b41b7a3e7f8fc79b93eff1267586acf50737af821
388.335,1,1d7af2288b2855746e680f560f62f7deaafa3f785c7cc21855ed4f749b302f72
388.345,0,1d7af2288b2855746e680f560f62f7deaafa3f785c7cc21855ed4f749b302f72
408.407,0,dd1ade7018019fc4e04d392755b6493ed442ffb34576e1179a7e00f90f395550
408.417,1,dd1ade7018019fc4e04d392755b6493ed442ffb34576e1179a7e00f90f395550
426.773,1,40d36194b297c29686980ddbbe3071720124ded31027010e3262940588094f8f
426.783,0,40d36194b297c29686980ddbbe3071720124ded31027010e3262940588094f8f
447.934,0,db605c56a02bc735cd785ce491858e6bbfc305b4a3630d7e96fcf81efcbfdc5d
447.944,1,db605c56a02bc735cd785ce491858e6bbfc305b4a3630d7e96fcf81efcbfdc5d
469.178,1,8333858b1f9372e2bbfef4c774b1676a74e93f837616fef6524957550a99dfff
469.188,0,8333858b1f9372e2bbfef4c774b1676a74e93f837616fef6524957550a99dfff
488.088,1,e4399fd005f88c85538f05be5cc53add937fbbbb80ac7c66a0380127f6fbf0a3
488.098,0,e4399fd005f88c85538f05be5cc53add937fbbbb80ac7c66a0380127f6fbf0a3
509.352,0,0eb7e6684018031718f031d3616c9bcfdf1213d7cc6337a146a6d993887835c3
509.363,1,0eb7e6684018031718f031d3616c9bcfdf1213d7cc6337a146a6d993887835c3
527.697,1,746b2f27782400d74201d0db2c4276225d60843ab36b56919a7992e3bb908c06
527.708,0,746b2f27782400d74201d0db2c4276225d60843ab36b56919a7992e3bb908c06
548.191,1,908bc3980d5ccbe2495e3f028e8b3a1603eb3367dae49a2101b67806ef5edec3
548.201,0,908bc3980d5ccbe2495e3f028e8b3a1603eb3367dae49a2101b67806ef5edec3
568.027,1,3e6d1e015351213c1347328fdf393004c6ff4cf3308fa6914b213b77832d1479
568.037,0,3e6d1e015351213c1347328fdf393004c6ff4cf3308fa6914b213b77832d1479
591.747,1,90ee1678735320c93598648330272669277d5b9bd40e4739a04b650d1c4e1d81
591.757,0,15673368377aee720cbb973e118104a1b87a8c64481e8fec05143a4f58a25478
609.075,1,2758a6b11926ed33f34cb416351cd22557b27d1da26898924f6c06f51500e3ee
609.085,0,2758a6b11926ed33f34cb416351cd22557b27d1da26898924f6c06f51500e3ee
631.223,0,3c93ec1539f9d81683bfa7853d0f2ba5adc5076db0975fb99c0a92fc0667c194
631.233,1,8162b51429b77b662602a6322ff6d3a67b32403a30a5a80b1a87a4e04e63dff0
650.647,0,82040f19895fc29106c1fb9321c3c2b45ab827c52ddd487217d03260785c7d75
650.658,1,82040f19895fc29106c1fb9321c3c2b45ab827c52ddd487217d03260785c7d75
667.163,1,cc8ffe9eb5cdd764ad178db7bf091b1e53023a260ad4fcd5148a049e3dd95e14
